label_name,address_type,address,name_tag,chain_code
0x Protocol,address,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x: Exchange Proxy,BSC
0x Protocol,address,0xdb6f1920a889355780af7570773609bd8cb1f498,0x: Exchange Proxy Flash Wallet,BSC
0x Protocol,address,0xccc9769c1a58766e79423a34b2cc5052d65c1983,0x: Exchange Proxy Governor,BSC
BscSwap,address,0xff05a9f496039fb2abe2d17ddfa08477f226087d,BSCswap: BSC-USD-CDEI,BSC
BscSwap,address,0xef99d4d637fe471e905835434d5b64c91c7159b5,BSCswap: BSC-USD-DEVS,BSC
BscSwap,address,0xa713df44a90827d107a02b20fdec4b57a2700abc,BSCswap: BSC-USD-FRF,BSC
BscSwap,address,0xb6d8f8e34794fd753d7efccc6b43a5049288ea12,BSCswap: BSC-USD-HVT,BSC
BscSwap,address,0x16bfd8eb95af8c0fb3d74886e42d806cd5bbf7db,BSCswap: BSC-USD-KBCoin,BSC
BscSwap,address,0x40bd9daa803be8fa562de4aafb1056fc2e192eba,BSCswap: BSC-USD-MCS,BSC
BscSwap,address,0x435c197cdc4253464a096c6b6a0f04e40897b7f8,BSCswap: BSC-USD-PVM,BSC
BscSwap,address,0x2fa80e0983d6cc5a218b42d26198b40d6ac537d5,BSCswap: BSC-USD-QFS,BSC
BscSwap,address,0x4f5d82f6c3d5cd9a3658c03bd98736cd55f3f145,BSCswap: BSC-USD-REDEFI,BSC
BscSwap,address,0xda395f68b160aa58456ba49c3ad2edc8c67d3558,BSCswap: BSC-USD-REVCC,BSC
BscSwap,address,0xd4fdae545594c1efea7e076c5dd2c2f7dc9f15ea,BSCswap: BSC-USD-TANGPING,BSC
BscSwap,address,0xf9d85a556d6e843ffc50c8005c9d62ed632d2f0d,BSCswap: BSC-USD-TITAN,BSC
BscSwap,address,0x541879cf08056d99b2b1ed3ab4275f8ad605730a,BSCswap: BSC-USD-VXZ,BSC
BscSwap,address,0x4a4eb663001e7032cdd180fb8a9ccaeefa517d1b,BSCswap: BSC-USDT,BSC
BscSwap,address,0xb786431a801d0d0388b065e8ae371787d5825125,BSCswap: BSWAP,BSC
BscSwap,address,0xc5c84863d32f41ad60eb2dead2d69c9553541616,BSCswap: BSWAP 2,BSC
BscSwap,address,0xacc234978a5eb941665fd051ca48765610d82584,BSCswap: BSWAP Token,BSC
