label_name,current_cnt,old_cnt,cnt_diff,account_url,token_url
Beacon Depositor,151936,150484,1452,https://etherscan.io/accounts/label/beacon-depositor,https://etherscan.io/tokens/label/beacon-depositor
Bridged Token,1776,1762,14,https://etherscan.io/accounts/label/bridged-token,https://etherscan.io/tokens/label/bridged-token
DeFi,2187,2183,4,https://etherscan.io/accounts/label/defi,https://etherscan.io/tokens/label/defi
Gambling,165,164,1,https://etherscan.io/accounts/label/gambling,https://etherscan.io/tokens/label/gambling
Gaming,711,709,2,https://etherscan.io/accounts/label/gaming,https://etherscan.io/tokens/label/gaming
Marketing,38,37,1,https://etherscan.io/accounts/label/marketing,https://etherscan.io/tokens/label/marketing
Network,58,57,1,https://etherscan.io/accounts/label/network,https://etherscan.io/tokens/label/network
Old Contract,1933,1932,1,https://etherscan.io/accounts/label/old-contract,https://etherscan.io/tokens/label/old-contract
Stablecoin,256,254,2,https://etherscan.io/accounts/label/stablecoin,https://etherscan.io/tokens/label/stablecoin
SushiSwap,3918,3916,2,https://etherscan.io/accounts/label/sushiswap,https://etherscan.io/tokens/label/sushiswap
Uniswap,308724,307271,1453,https://etherscan.io/accounts/label/uniswap,https://etherscan.io/tokens/label/uniswap
Website Down,924,923,1,https://etherscan.io/accounts/label/website-down,https://etherscan.io/tokens/label/website-down
